,행정동코드,1월_외국인_총생활인구수,2월_외국인_총생활인구수,3월_외국인_총생활인구수,4월_외국인_총생활인구수,5월_외국인_총생활인구수,6월_외국인_총생활인구수,7월_외국인_총생활인구수,8월_외국인_총생활인구수,9월_외국인_총생활인구수,10월_외국인_총생활인구수,11월_외국인_총생활인구수,12월_외국인_총생활인구수,2021년_외국인_평균
42,11170640,59.1425,52.9775,19.5339,36.459,31.2091,77.2442,19.2115,25.3576,23.5526,28.9977,58.7319,18.3815,37.5666
43,11170650,146.2462,337.191,234.2549,204.2439,147.0489,278.8047,390.3048,367.1055,273.7569,220.9071,238.9906,339.2254,264.84
44,11170660,166.6076,272.3575,508.0218,121.8072,156.3321,259.5206,335.1729,395.6118,181.6967,221.2603,318.2879,231.1666,263.9869
45,11170685,427.17,333.2568,681.8836,299.6706,400.1886,453.3832,703.3776,504.3392,584.3426,359.0485,356.3127,655.3588,479.861
46,11170690,124.6589,131.5425,199.5207,209.4058,176.0417,332.639,174.4078,344.7625,205.168,170.4417,131.9486,133.9874,194.5437
47,11170700,47.6074,113.2382,130.6111,32.3479,64.8904,93.8103,265.877,115.0704,84.6007,126.124,102.1178,50.4796,102.2312
48,11200520,113.5295,98.7652,57.8841,70.1253,78.1198,79.5437,62.4974,79.5426,106.2474,101.2531,89.8354,84.4166,85.1467
49,11200535,120.3301,240.4087,227.3421,296.397,267.1642,286.2029,189.4869,149.1114,239.8208,199.3453,178.5754,162.1061,213.0242
50,11200540,142.9097,258.9397,373.4523,197.6534,300.2749,334.1513,162.5265,312.7124,478.5122,138.8153,336.8485,222.1728,271.5807
51,11200550,283.903,631.7992,810.2145,397.2909,273.8472,445.277,296.4953,910.6249,1526.8154,608.0892,695.5466,484.2097,613.6761
52,11200560,97.0726,204.6212,122.669,128.1579,111.5014,115.4377,108.5287,145.6104,136.2307,107.8559,133.1018,192.0349,133.5685
53,11200570,84.3697,98.7013,54.5961,24.2645,86.7946,88.1862,128.4997,65.0456,67.4611,75.0119,90.8408,110.035,81.1505
54,11200580,82.3071,115.9022,32.7501,43.1727,73.1875,13.8319,16.1212,16.5443,28.5394,37.0491,16.6965,76.0244,46.0105
55,11200590,54.7917,36.5103,24.7074,65.861,44.5169,66.0371,50.9683,48.7614,59.7944,84.3323,82.5267,51.8086,55.8847
56,11200615,82.6413,67.6565,97.0573,24.7826,67.9153,87.6868,66.9232,92.3113,47.6753,100.9014,74.7336,79.9521,74.1864
57,11200620,80.5671,33.0708,47.9184,64.1107,57.2559,58.8652,197.3603,38.1844,29.1931,101.5743,55.5782,88.3632,71.0035
58,11200645,180.7927,77.4135,191.1823,199.5917,138.176,188.9356,234.5797,174.3104,152.7547,139.4066,106.1592,214.4466,166.4791
59,11200650,122.7866,89.4887,171.7543,48.4339,52.5128,63.7346,80.6109,86.7917,101.1677,119.1319,345.8728,216.2113,124.8748
60,11200660,85.1526,77.1932,94.3003,93.4525,18.6351,71.0398,82.8011,80.1743,51.5194,76.6462,257.2665,149.341,94.7935
61,11200670,102.4063,73.3277,174.3942,123.2718,118.2664,170.5609,122.9101,143.1803,185.7996,247.5352,403.2853,361.0265,185.497
62,11200690,240.092,325.7532,389.1965,499.2889,262.4378,212.5116,240.4802,232.6761,224.0732,176.6831,594.7903,480.2422,323.1854
63,11200720,55.7799,62.7297,128.257,81.6967,36.9997,56.6535,35.7411,80.0104,76.2728,79.3481,170.4372,56.3335,76.6883
64,11200790,352.5957,112.4365,403.9519,353.9994,288.0101,268.1717,144.154,288.8956,362.1518,206.4388,353.7992,143.6627,273.1889
65,11215710,437.1324,697.9915,758.8018,487.6468,585.6755,442.5711,424.2789,967.5155,1147.4483,835.4511,909.5687,595.1561,690.7698
66,11215730,217.7335,274.1316,400.2568,235.3091,90.9579,363.287,231.2139,171.8582,428.5014,235.1025,360.8256,178.9016,265.6733
67,11215740,49.1424,61.787,42.8853,37.4343,55.8958,58.3885,36.8016,98.3166,50.2705,91.9065,54.7044,62.1116,58.3037
68,11215750,26.7768,57.6725,44.3393,19.1384,39.9441,42.5186,78.2663,30.5464,41.9044,61.3712,75.9072,43.9314,46.8597
69,11215760,62.1207,22.267,98.2642,48.9946,34.2389,34.6101,78.7292,97.2752,45.9149,63.2431,30.2215,78.7717,57.8876
70,11215770,36.4104,67.9594,68.7137,49.3983,41.7185,74.0121,42.5005,100.4556,70.8737,41.6739,26.1462,62.8657,56.894
71,11215780,42.2503,59.3694,60.2994,123.2393,128.1224,80.2604,78.5373,72.1559,109.5607,95.3359,138.4833,144.8206,94.3696
72,11215810,86.066,107.1638,55.003,61.5167,126.9318,119.3685,217.7718,134.267,147.5425,137.1382,256.1475,400.2592,154.098
73,11215820,92.973,874.4627,421.635,142.4555,103.6569,127.9768,196.701,177.8986,202.8919,121.2175,333.6402,183.2357,248.2287
74,11215830,64.8078,108.7617,53.8595,36.4783,355.5665,65.7077,80.0474,157.4585,52.2521,52.923,203.0184,143.4035,114.5237
