,행정동_코드,상권_구분_코드,상권_코드,분기당_매출_금액,분기당_매출_건수,건당_매출액_평균,"환산임대료(원, 21년도)","증감율(%, 19-21년도)",임대료/매출,매출/임대료
67,11140550,D,2120028,-2147483648,286207,13414,164231,-4.27,12.2433,0.0817
68,11140550,D,2120029,458419378,25195,18195,164231,-4.27,9.0262,0.1108
69,11140550,D,2120030,1012807918,78487,12904,164231,-4.27,12.7271,0.0786
70,11140570,A,2110042,160174990,14545,11012,120006,7.897,10.8977,0.0918
71,11140570,D,2120032,-2147483648,179993,12822,120006,7.897,9.3594,0.1068
72,11140580,A,2110043,194864478,20348,9577,107807,6.838,11.2569,0.0888
73,11140580,A,2110044,168911059,3151,53601,107807,6.838,2.0113,0.4972
74,11140580,A,2110045,306879551,13092,23441,107807,6.838,4.5991,0.2174
75,11140580,A,2110048,138267637,6016,22983,107807,6.838,4.6907,0.2132
76,11140580,D,2120036,580689996,37312,15563,107807,6.838,6.9271,0.1444
77,11140590,D,2120034,579728975,26486,21888,190904,2.191,8.7219,0.1147
78,11140590,D,2120035,660261350,57703,11442,190904,2.191,16.6845,0.0599
79,11140590,D,2120037,-2147483648,212802,10844,190904,2.191,17.6046,0.0568
80,11140605,D,2120031,-2147483648,265669,14823,141458,6.805,9.5431,0.1048
81,11140605,D,2120033,494960233,39461,12543,141458,6.805,11.2778,0.0887
82,11140615,A,2110051,248749205,27583,9018,369515,1.273,40.9753,0.0244
83,11140615,A,2110053,276297437,28461,9708,369515,1.273,38.0629,0.0263
84,11140615,D,2120039,1695629867,133444,12707,369515,1.273,29.0796,0.0344
85,11140625,A,2110047,21081409,2040,10331,103685,-0.091,10.0363,0.0996
86,11140625,A,2110049,808589000,20003,40424,103685,-0.091,2.5649,0.3899
87,11140625,A,2110052,225749246,14093,16019,103685,-0.091,6.4726,0.1545
88,11140625,D,2120038,1408967867,113138,12454,103685,-0.091,8.3254,0.1201
89,11140635,A,2110050,243423297,17184,14166,121820,1.371,8.5995,0.1163
90,11140645,A,2110054,369907300,35022,10562,98506,3.478,9.3265,0.1072
91,11140650,A,2110056,263721063,24379,10818,112029,-7.077,10.3558,0.0966
92,11140670,A,2110055,82777283,2331,35518,126362,-2.006,3.5577,0.2811
93,11140670,A,2110057,485718015,55869,8694,126362,-2.006,14.5344,0.0688
94,11140680,A,2110591,224402496,13313,16856,131486,8.629,7.8005,0.1282
95,11140680,D,2120018,696577361,42534,16377,131486,8.629,8.0287,0.1246
96,11170510,A,2110077,171497929,14168,12105,111346,6.701,9.1983,0.1087
