행정동,행정동코드,문화시설수
성현동,11620565,0
인헌동,11620625,0
중림동,11140680,3
도림동,11560585,0
중곡1동,11215740,0
신림동,11620695,1
공릉1동,11350595,2
염리동,11440610,0
자양1동,11215820,1
구로5동,11530560,20
방배1동,11650600,0
양평1동,11560610,0
응암2동,11380590,0
쌍문3동,11320680,0
신길1동,11560630,0
부암동,11110550,8
풍납1동,11710510,0
대림1동,11560700,0
갈현1동,11380551,0
북가좌1동,11410710,0
잠실7동,11710720,0
반포3동,11650580,1
이촌1동,11170630,0
청파동,11170555,5
보광동,11170700,0
창신2동,11110680,2
가양1동,11500603,5
논현1동,11680521,5
신길5동,11560670,0
청림동,11620545,0
상도1동,11590530,5
도봉1동,11320521,0
묵2동,11260630,0
역삼2동,11680650,2
응암1동,11380580,2
사당5동,11590651,3
정릉4동,11290650,0
전농1동,11230560,6
장위1동,11290760,1
신대방2동,11590680,5
신월1동,11470560,0
대림3동,11560720,0
노량진1동,11590510,7
전농2동,11230570,1
잠실2동,11710670,3
성수1가1동,11200650,5
이태원2동,11170660,2
조원동,11620725,0
사근동,11200550,5
응암3동,11380600,0
동화동,11140665,3
잠실4동,11710690,0
창5동,11320515,4
신길4동,11560660,0
상암동,11440740,5
구산동,11380560,0
암사3동,11740590,1
암사2동,11740580,1
원효로1동,11170560,1
성산1동,11440720,0
송파2동,11710590,0
풍납2동,11710520,0
마천2동,11710550,0
정릉3동,11290640,2
상일동,11740520,0
서빙고동,11170690,5
홍제1동,11410620,0
중계4동,11350624,0
오륜동,11710566,10
난곡동,11620775,0
등촌1동,11500520,0
중화1동,11260600,0
북가좌2동,11410720,0
증산동,11380640,0
홍은1동,11410660,0
창4동,11320514,5
신월5동,11470600,0
필동,11140570,30
미성동,11620765,1
상계9동,11350710,0
신정7동,11470680,0
중계1동,11350621,0
난향동,11620715,0
사당1동,11590620,4
상계10동,11350720,0
가락1동,11710631,0
구의1동,11215850,0
독산2동,11545620,0
세곡동,11680700,0
목3동,11470530,0
무악동,11110570,0
면목4동,11260540,2
교남동,11110580,2
당산2동,11560560,2
개봉3동,11530760,0
신길6동,11560680,0
신월7동,11470611,1
오류1동,11530770,2
신정6동,11470670,4
화곡본동,11500590,0
천연동,11410520,1
창신1동,11110670,2
면목3.8동,11260575,0
용산2가동,11170520,3
고덕1동,11740550,0
월곡1동,11290715,0
중계2.3동,11350625,2
돈암2동,11290590,2
망원2동,11440700,0
신수동,11440630,1
월곡2동,11290725,2
사당4동,11590650,0
휘경2동,11230730,0
공항동,11500620,0
위례동,11710647,0
행당2동,11200570,0
금호1가동,11200590,0
회기동,11230710,1
송파1동,11710580,0
홍제2동,11410655,0
신월6동,11470610,0
자양4동,11215847,2
면목7동,11260570,1
거여1동,11710531,1
후암동,11170510,2
상계8동,11350700,0
신대방1동,11590670,6
가양2동,11500604,1
면목5동,11260550,0
응봉동,11200580,0
숭인1동,11110700,0
번3동,11305606,0
가양3동,11500605,0
도봉2동,11320522,2
창신3동,11110690,0
항동,11530800,0
신사동(관악구),11620685,0
