,행정동코드,1월_2030여성비율,2월_2030여성비율,3월_2030여성비율,4월_2030여성비율,5월_2030여성비율,6월_2030여성비율,7월_2030여성비율,8월_2030여성비율,9월_2030여성비율,10월_2030여성비율,11월_2030여성비율,12월_2030여성비율,2021년_2030여성_비율평균
43,11170650,4.9314,5.1926,5.225,5.2703,5.3584,5.3904,5.2211,5.1898,5.2657,5.5454,5.6368,5.5184,5.3121
44,11170660,5.157,5.2084,5.28,5.342,5.3785,5.3506,5.2919,5.3841,5.4403,5.5905,5.5102,5.5047,5.3699
45,11170685,5.2012,5.4784,5.6094,5.6441,5.6213,5.7465,5.5675,5.5563,5.5997,5.738,5.6852,5.7122,5.5967
46,11170690,3.4919,3.5874,3.6509,3.6985,3.7052,3.7173,3.6577,3.661,3.662,3.6832,3.6776,3.6428,3.653
47,11170700,4.0967,4.1348,4.2011,4.1769,4.1817,4.1724,4.1301,4.0956,4.0562,4.1363,4.0675,4.0938,4.1286
48,11200520,4.4424,4.3514,4.4429,4.4644,4.4605,4.4668,4.4304,4.4059,4.4467,4.5092,4.4716,4.51,4.4502
49,11200535,4.8054,4.762,4.8249,4.8645,4.8944,4.9685,4.9751,4.9602,4.9335,4.955,4.946,4.9459,4.9029
50,11200540,4.2078,4.1069,4.193,4.1909,4.2274,4.2102,4.2015,4.2203,4.1763,4.2684,4.2368,4.2787,4.2099
51,11200550,6.2249,6.1434,6.0218,6.1025,6.2026,6.2715,6.1643,6.1601,6.0914,6.2474,6.4102,6.4936,6.2111
52,11200560,4.6121,4.5942,4.6914,4.6439,4.6912,4.721,4.7791,4.7647,4.7592,4.8733,4.9067,4.8364,4.7395
53,11200570,3.7839,3.7053,3.7663,3.752,3.7637,3.7221,3.7844,3.7593,3.7413,3.7853,3.7865,3.767,3.7598
54,11200580,3.4323,3.3977,3.4188,3.5031,3.4904,3.4674,3.4718,3.4623,3.4739,3.4854,3.4139,3.4129,3.4525
55,11200590,4.1207,4.0641,4.104,4.0415,4.0042,4.0034,4.0919,4.0084,4.0101,4.0101,3.9563,3.9211,4.028
56,11200615,3.7981,3.7307,3.7852,3.7893,3.7477,3.6958,3.6853,3.6931,3.6367,3.6783,3.6602,3.6502,3.7126
57,11200620,3.837,3.7953,3.8509,3.7993,3.7779,3.8083,3.8251,3.8404,3.8259,3.8345,3.8363,3.812,3.8202
58,11200645,4.3541,4.2892,4.3215,4.2845,4.2152,4.2269,4.1921,4.1615,4.0934,4.1216,4.1095,4.0891,4.2049
59,11200650,4.3817,4.5229,4.6727,4.9008,4.8359,4.8903,4.7336,4.8736,4.9379,4.9897,4.9932,4.8265,4.7966
60,11200660,5.0929,5.2675,5.4011,5.5572,5.4724,5.576,5.3923,5.3274,5.3379,5.4005,5.5337,5.4059,5.3971
61,11200670,3.9458,3.9972,4.1127,4.171,4.1612,4.1942,4.1386,4.1237,4.1221,4.2458,4.2795,4.2341,4.1438
62,11200690,5.4258,5.6051,5.7173,5.7461,5.6926,5.669,5.6177,5.5964,5.5521,5.6353,5.7362,5.6879,5.6401
63,11200720,4.8249,4.7418,4.8879,4.8998,4.8496,4.8443,4.8344,4.9064,4.795,4.9673,4.9394,4.9637,4.8712
64,11200790,4.3385,4.3511,4.5527,4.5336,4.4884,4.4989,4.5626,4.5838,4.5932,4.7074,4.6988,4.7156,4.552
65,11215710,7.7217,7.6007,7.7489,7.8037,7.7794,7.8127,7.8243,7.8343,7.8357,7.9865,8.0162,8.056,7.835
66,11215730,5.8852,5.7775,5.9812,6.0139,6.0067,6.0492,6.0447,5.9916,6.0016,6.1389,6.0994,6.1286,6.0099
67,11215740,4.8932,4.7528,4.9232,4.8784,4.8717,4.8872,4.8776,4.8185,4.7634,4.8831,4.8705,4.8673,4.8572
68,11215750,4.6588,4.5543,4.7407,4.7291,4.7372,4.6453,4.7236,4.7721,4.7012,4.7823,4.7298,4.753,4.7106
69,11215760,3.8527,3.7432,3.7891,3.7713,3.8021,3.8127,3.7759,3.8572,3.7944,3.7997,3.7455,3.7772,3.7934
