,행정동코드,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수,행정동명
165,11350670,0,0,0,11,상계5동
166,11350695,0,0,0,4,상계6.7동
167,11350710,0,0,1,4,상계9동
168,11350720,0,0,0,4,상계10동
169,11380510,0,0,0,13,녹번동
170,11380520,0,0,0,5,불광1동
171,11380530,0,0,2,32,불광2동
172,11380551,0,0,0,24,갈현1동
173,11380552,0,0,1,31,갈현2동
174,11380560,0,0,0,25,구산동
175,11380570,0,0,0,20,대조동
176,11380580,0,0,0,16,응암1동
177,11380590,0,0,0,0,응암2동
178,11380600,0,0,0,24,응암3동
179,11380625,0,0,0,22,역촌동
180,11380631,0,0,1,14,신사1동
181,11380632,0,0,1,24,신사2동
182,11380640,0,0,1,10,증산동
183,11380650,0,0,3,20,수색동
184,11380690,0,0,0,2,진관동
185,11410520,0,0,0,6,천연동
186,11410555,0,0,0,4,북아현동
187,11410565,0,0,2,28,충현동
188,11410585,0,0,2,64,신촌동
189,11410615,0,0,0,37,연희동
190,11410620,0,0,1,31,홍제1동
191,11410640,0,0,0,17,홍제3동
192,11410660,0,0,0,3,홍은1동
193,11410685,0,0,0,20,홍은2동
194,11410690,0,0,0,5,남가좌1동
195,11410700,0,0,0,18,남가좌2동
196,11410710,0,0,0,3,북가좌1동
197,11410720,0,0,0,23,북가좌2동
198,11440555,0,0,0,6,아현동
199,11440565,0,0,5,33,공덕동
200,11440585,0,0,0,0,도화동
201,11440590,0,0,1,9,용강동
202,11440600,0,0,0,9,대흥동
203,11440610,0,0,2,11,염리동
204,11440630,0,0,1,12,신수동
205,11440655,0,0,1,22,서강동
206,11440660,0,0,5,86,서교동
207,11440680,0,0,2,28,합정동
208,11440690,0,0,0,15,망원1동
209,11440700,0,0,0,21,망원2동
210,11440710,0,0,0,11,연남동
211,11440720,0,0,0,15,성산1동
212,11440730,0,0,1,11,성산2동
213,11440740,0,0,0,24,상암동
214,11470510,0,0,1,9,목1동
215,11470520,0,0,0,5,목2동
216,11470530,0,0,1,6,목3동
217,11470540,0,0,0,4,목4동
218,11470550,0,0,0,6,목5동
219,11470560,0,0,0,7,신월1동
220,11470570,0,0,0,3,신월2동
221,11470580,0,0,0,4,신월3동
222,11470590,0,0,0,10,신월4동
223,11470600,0,0,0,7,신월5동
224,11470610,0,0,0,5,신월6동
225,11470611,0,0,0,10,신월7동
226,11470620,0,0,0,9,신정1동
227,11470630,0,0,0,14,신정2동
228,11470640,0,0,0,2,신정3동
229,11470650,0,0,2,22,신정4동
230,11470680,0,0,1,19,신정7동
231,11500510,0,0,0,5,염창동
232,11500520,0,0,0,0,등촌1동
233,11500530,0,0,0,0,등촌2동
234,11500535,0,0,1,16,등촌3동
235,11500540,0,0,2,39,화곡1동
236,11500550,0,0,0,14,화곡2동
237,11500560,0,0,0,3,화곡3동
238,11500570,0,0,0,35,화곡4동
239,11500590,0,0,0,8,화곡본동
240,11500591,0,0,0,21,화곡6동
241,11500593,0,0,0,11,화곡8동
242,11500603,0,0,2,42,가양1동
243,11500605,0,0,0,3,가양3동
244,11500611,0,0,0,15,발산1동
245,11500615,0,0,0,11,우장산동
246,11500620,0,0,2,16,공항동
247,11500630,0,0,0,22,방화1동
248,11500640,0,0,3,8,방화2동
249,11500641,0,0,1,6,방화3동
250,11530510,0,0,0,5,신도림동
251,11530530,0,0,1,35,구로2동
252,11530540,0,0,0,33,구로3동
253,11530550,0,0,1,15,구로4동
254,11530560,0,0,2,41,구로5동
