,행정동_코드,행정동명,상권_구분_코드,상권_코드,분기당_매출_금액,분기당_매출_건수,건당_매출액_평균,"환산임대료(원, 21년도)","증감율(%, 19-21년도)",임대료/매출,매출/임대료,개업률_평균,폐업률_평균,점포수,면적,단위면적당 상권 수(k㎡),프랜차이즈_점포_수,개인사업자_수,프랜차이즈 비율,2021년_2030여성_비율평균,2021년_외국인_평균,문화시설수,지하철_역_수,버스_정거장_수,유사_업종_점포_수,개인사업자_점포수,개인사업자_비율
28,11110615,종로1.2.3.4가동,D,2120011,571809271,55818,10244,189227,-3.76,18.472,0.0541,3.1389,5.8611,4912,2.35,2090.2127659574467,356,1981,0.15233205,0.0479,948.685,59,4,53,14,7,0.5
29,11110630,종로5.6가동,A,2110026,122197391,16447,7430,245416,-2.317,33.0304,0.0303,0.0,0.0,2045,0.6,3408.333333333333,43,238,0.153024911,0.0382,151.1518,8,0,10,2,2,1.0
30,11110630,종로5.6가동,D,2120014,1049034128,73702,14233,245416,-2.317,17.2427,0.058,3.1297,3.4815,2045,0.6,3408.333333333333,43,238,0.153024911,0.0382,151.1518,8,0,10,36,29,0.8056
31,11110630,종로5.6가동,D,2120015,350532362,29682,11810,245416,-2.317,20.7804,0.0481,3.5712,3.2655,2045,0.6,3408.333333333333,43,238,0.153024911,0.0382,151.1518,8,0,10,10,7,0.7
32,11110640,이화동,A,2110023,370151543,47932,7722,118103,-4.572,15.2944,0.0654,5.081,5.8831,504,0.78,646.1538461538461,43,164,0.207729469,0.0591,150.3574,114,0,16,11,4,0.3636
33,11110640,이화동,A,2110027,87577695,6683,13104,118103,-4.572,9.0127,0.111,3.4042,3.4889,504,0.78,646.1538461538461,43,164,0.207729469,0.0591,150.3574,114,0,16,13,12,0.9231
34,11110640,이화동,A,2110028,507040180,71508,7091,118103,-4.572,16.6553,0.06,2.6852,2.3241,504,0.78,646.1538461538461,43,164,0.207729469,0.0591,150.3574,114,0,16,16,14,0.875
35,11110640,이화동,D,2120013,548678361,40169,13659,118103,-4.572,8.6465,0.1157,3.6667,3.6389,504,0.78,646.1538461538461,43,164,0.207729469,0.0591,150.3574,114,0,16,20,15,0.75
36,11110650,혜화동,A,2110020,195699722,24750,7907,125751,-3.9,15.9038,0.0629,2.1458,3.1979,767,1.12,684.8214285714286,163,669,0.195913462,0.0573,1060.7929,53,1,27,10,8,0.8
37,11110650,혜화동,A,2110021,183830865,18604,9881,125751,-3.9,12.7265,0.0786,5.1342,5.458,767,1.12,684.8214285714286,163,669,0.195913462,0.0573,1060.7929,53,1,27,20,18,0.9
