행정동_코드,프랜차이즈_점포_수,개인사업자_수,프랜차이즈 비율
11500530,6,17,0.260869565
11500535,54,172,0.238938053
11500540,147,639,0.187022901
11500550,17,81,0.173469388
11500560,14,95,0.128440367
11500570,42,220,0.160305344
11500590,31,98,0.240310078
11500591,79,374,0.174392936
11500593,16,54,0.228571429
11500603,278,921,0.231859883
11500605,4,8,0.333333333
11500611,14,115,0.108527132
11500615,25,137,0.154320988
11500620,44,263,0.143322476
11500630,36,196,0.155172414
11500640,37,126,0.226993865
11500641,26,42,0.382352941
11530510,4,39,0.093023256
11530530,67,532,0.111853088
11530540,255,538,0.321563682
11530550,40,258,0.134228188
11530560,156,514,0.232835821
11530595,25,269,0.085034014
11530720,45,96,0.319148936
11530730,30,219,0.120481928
11530740,29,110,0.208633094
11530750,2,5,0.285714286
11530760,43,185,0.188596491
11530770,32,147,0.17877095
11530780,25,113,0.18115942
11530790,31,107,0.224637681
11545510,390,870,0.30952381
11545610,104,366,0.221276596
11545620,30,107,0.218978102
11545630,40,291,0.120845921
11545640,23,128,0.152317881
11545670,60,270,0.181818182
11545680,5,23,0.178571429
11545690,27,108,0.2
11545700,21,78,0.212121212
11545710,28,91,0.235294118
11560515,17,78,0.178947368
11560535,202,650,0.237089202
11560540,332,1277,0.206339341
11560550,88,412,0.176
11560560,101,305,0.248768473
11560585,35,126,0.217391304
11560605,64,356,0.152380952
11560610,28,114,0.197183099
11560620,47,173,0.213636364
11560630,36,171,0.173913043
11560650,9,50,0.152542373
11560660,6,30,0.166666667
11560670,14,64,0.179487179
11560680,14,97,0.126126126
11560690,14,78,0.152173913
11560700,21,84,0.2
11560710,12,176,0.063829787
11560720,48,401,0.106904232
11590510,91,384,0.191578947
11590520,11,84,0.115789474
11590530,89,227,0.28164557
11590540,34,138,0.197674419
11590550,8,24,0.25
11590560,16,73,0.179775281
11590605,38,145,0.207650273
11590620,40,190,0.173913043
11590630,85,347,0.196759259
11590640,10,38,0.208333333
11590650,16,52,0.235294118
11590651,6,15,0.285714286
11590660,72,212,0.253521127
11590670,10,79,0.112359551
11590680,71,243,0.22611465
11620525,28,131,0.176100629
11620545,2,6,0.25
11620565,4,23,0.148148148
11620575,12,78,0.133333333
11620585,32,264,0.108108108
11620595,94,380,0.198312236
11620605,10,67,0.12987013
11620615,29,119,0.195945946
