,상권_코드,개업률_평균,폐업률_평균
202,2110203,5.502,1.4544
203,2110204,5.366,4.3752
204,2110205,3.8333,5.6019
205,2110206,7.1841,4.5052
206,2110207,2.4352,4.4629
207,2110208,9.5556,8.8175
208,2110209,6.4308,5.3141
209,2110210,2.4303,1.3488
210,2110211,6.224,5.3643
211,2110212,4.1822,6.6065
212,2110213,1.131,1.5625
213,2110214,2.8398,3.4532
214,2110215,4.7813,5.5
215,2110216,6.2291,3.7891
216,2110217,9.2195,1.3869
217,2110218,4.0937,5.8125
218,2110219,4.5487,4.7956
219,2110220,2.8611,4.3611
220,2110221,4.0943,4.6251
221,2110222,6.7209,5.0668
222,2110223,9.8148,4.6204
223,2110224,2.1297,7.7449
224,2110225,6.4593,3.5399
225,2110226,4.2315,3.4815
226,2110227,3.0714,3.4286
227,2110228,4.785,4.0
228,2110229,5.2407,4.2222
229,2110230,5.8982,4.7572
230,2110231,3.0303,0.0
231,2110232,3.6945,3.4352
232,2110233,3.8093,2.223
233,2110234,2.6458,4.9062
234,2110235,8.3334,6.4815
235,2110236,4.1863,3.8426
236,2110237,3.8982,5.7963
237,2110238,2.7639,1.375
238,2110239,6.9458,5.2792
239,2110240,5.7467,3.0667
240,2110241,6.3813,4.867
241,2110242,5.0566,2.8781
242,2110243,5.0648,4.037
243,2110244,6.1019,9.213
244,2110245,2.6818,0.0
245,2110246,4.0972,3.1528
246,2110247,4.6111,4.4039
247,2110248,7.6595,0.4167
248,2110249,4.5521,4.8854
249,2110250,4.3413,4.2362
250,2110251,4.9722,5.5
251,2110252,7.2381,4.6548
252,2110253,6.0436,4.6579
253,2110254,7.3423,3.9688
254,2110255,7.908,4.0175
255,2110256,8.0738,3.8097
256,2110257,8.2958,2.9709
257,2110258,5.7404,5.1645
258,2110259,3.6944,3.3148
259,2110260,7.4976,5.0409
260,2110261,5.5617,4.5766
261,2110262,6.1458,5.6458
262,2110263,4.4306,3.9028
263,2110264,4.8912,4.0509
264,2110265,5.9815,6.9907
265,2110266,4.5926,5.1852
266,2110267,4.2288,4.1796
267,2110268,5.6635,4.23
268,2110269,7.1422,5.7184
269,2110270,6.0994,5.8217
270,2110271,0.1875,0.8958
271,2110272,3.3704,4.0833
272,2110273,4.7193,4.796
273,2110274,5.3021,3.3588
274,2110275,4.8877,3.6782
275,2110276,6.1699,5.1282
276,2110277,6.122,2.9434
277,2110278,4.8877,4.6562
278,2110279,12.2037,0.0
279,2110280,0.0,1.5833
280,2110281,1.625,1.3889
281,2110282,2.5625,5.1771
282,2110283,3.6667,5.3611
283,2110284,5.0625,6.7917
284,2110285,3.7381,4.626
285,2110286,3.9583,3.9062
286,2110287,3.4289,2.3078
287,2110288,3.5476,3.4166
288,2110289,6.3956,2.2396
289,2110290,5.1767,1.3889
290,2110291,2.4346,5.9801
291,2110292,5.655,5.1452
292,2110293,4.4679,5.3279
293,2110294,5.5633,4.8944
294,2110295,5.011,5.5458
295,2110296,5.1458,1.9584
296,2110297,6.7931,2.4742
297,2110298,1.7667,3.2215
298,2110299,6.2619,3.5
299,2110300,5.0924,4.4674
300,2110301,4.9234,5.3107
301,2110302,4.2188,4.4792
302,2110303,6.2315,6.9074
303,2110304,5.6296,4.053
304,2110305,4.4576,3.5229
305,2110306,9.2096,6.4235
306,2110307,1.3113,6.2708
307,2110308,2.7434,3.4349
308,2110309,1.5714,5.2083
309,2110310,0.0,0.0
310,2110311,0.0,0.0
311,2110312,3.4167,4.7593
312,2110313,2.8426,3.8241
313,2110314,2.8958,5.1215
314,2110315,7.5805,4.2443
315,2110316,3.1667,3.6019
316,2110317,2.5119,3.1191
317,2110318,4.9167,4.2084
318,2110319,6.4619,4.0708
319,2110320,1.4493,0.0
320,2110321,6.1111,5.0
321,2110322,4.0917,3.1341
322,2110323,4.8086,2.7646
323,2110324,4.0441,0.0
324,2110325,3.188,1.1692
325,2110326,0.4583,0.0
326,2110327,6.4107,4.4345
327,2110328,3.4167,2.0417
328,2110329,6.7667,3.3689
329,2110330,2.5741,2.8241
330,2110331,2.6204,3.5926
331,2110332,5.1299,2.3833
332,2110333,4.122,3.5175
333,2110334,2.2738,4.0238
334,2110335,3.7129,3.5648
335,2110336,2.7667,1.8833
336,2110337,3.5752,6.0011
337,2110338,1.5714,1.4293
338,2110339,5.135,2.8667
339,2110340,3.6,3.8833
340,2110341,1.4778,3.5472
341,2110342,7.3761,6.558
342,2110343,3.1306,3.3944
343,2110344,2.0809,3.0748
344,2110345,2.4524,2.8408
345,2110346,3.2655,4.208
346,2110348,1.9422,1.8229
347,2110349,5.2999,3.4645
348,2110350,2.5268,3.6384
349,2110351,5.9536,4.0217
350,2110352,5.2678,4.3376
351,2110353,4.9456,4.4108
352,2110354,4.8896,6.6607
353,2110355,1.2262,1.0714
354,2110356,2.9861,4.5695
355,2110357,5.4197,5.1739
356,2110358,4.8226,6.2463
357,2110359,5.4659,3.1231
358,2110360,4.4896,3.2627
359,2110361,2.4067,6.1515
360,2110362,5.2261,3.8454
361,2110363,6.4554,1.7361
362,2110364,3.8688,2.2822
363,2110365,3.8195,4.1944
364,2110366,7.8207,5.082
365,2110367,7.3505,3.7648
366,2110368,7.5438,4.4342
367,2110369,5.0788,5.1
368,2110370,6.2134,4.9242
369,2110371,4.4539,3.4447
370,2110372,4.2094,3.4745
371,2110373,3.9762,3.5
372,2110374,6.4127,5.1103
373,2110375,0.0,2.1983
374,2110376,5.4537,3.5741
375,2110377,5.4479,4.7574
376,2110378,6.1784,4.8905
377,2110379,0.9028,0.4722
378,2110380,14.052,2.6983
379,2110381,1.6667,4.8667
380,2110382,3.2619,4.8572
381,2110383,4.766,6.1528
382,2110384,4.7619,0.0
383,2110385,0.0,0.0
384,2110386,3.8638,2.7736
385,2110387,3.2917,4.1771
386,2110388,3.8611,3.8179
387,2110389,4.9167,4.5509
388,2110390,6.1431,4.1498
389,2110391,5.88,5.1328
390,2110392,3.121,3.1571
391,2110393,2.5714,1.8214
392,2110394,5.481,4.8886
393,2110395,8.2678,3.6565
394,2110396,4.6928,3.8434
395,2110397,3.4498,1.7638
396,2110398,3.8796,5.0185
397,2110399,4.5247,4.2411
398,2110400,6.0093,6.25
399,2110401,1.8634,2.9692
400,2110402,8.0962,4.9311
401,2110403,5.485,6.4549
402,2110404,5.9815,4.5555
403,2110405,5.7828,5.8984
404,2110406,3.605,2.8202
405,2110407,2.8981,1.2963
406,2110408,1.6759,4.4722
407,2110409,3.7187,5.3855
408,2110410,2.8704,4.9815
409,2110411,2.4546,5.3651
410,2110412,1.4872,0.0
411,2110413,6.3131,3.8717
412,2110414,3.3333,3.3333
413,2110415,2.9908,4.6667
414,2110416,3.8148,3.7407
415,2110417,4.2049,5.604
416,2110418,2.4628,3.0387
417,2110419,3.287,3.4908
418,2110420,4.5671,4.3541
419,2110421,3.7407,3.6389
420,2110422,4.2232,3.8616
421,2110423,2.5098,5.2369
422,2110424,6.7407,7.6296
423,2110425,5.5,3.4444
424,2110426,6.6394,4.5532
425,2110427,1.3833,5.0
426,2110428,7.485,4.4132
427,2110429,3.5741,5.5833
428,2110430,4.5926,2.5617
429,2110431,3.7129,4.2222
430,2110432,5.1327,4.9677
431,2110433,6.1296,7.0
432,2110434,3.108,2.6045
433,2110435,3.1368,4.8965
434,2110436,3.5917,0.8167
435,2110437,3.876,1.1521
436,2110438,6.0278,5.5834
437,2110439,2.0909,0.8923
438,2110440,1.9608,3.6275
439,2110441,4.7185,4.5375
440,2110442,4.6987,6.2276
441,2110443,0.0,0.0
442,2110444,0.9524,3.7037
443,2110445,23.0,1.4293
444,2110446,5.5963,4.809
445,2110447,13.8889,3.7037
446,2110448,5.3662,4.1572
447,2110449,2.7268,2.4944
448,2110450,6.0278,6.2315
449,2110451,4.1771,4.6979
450,2110452,4.7952,5.453
451,2110453,3.3809,4.8333
452,2110454,7.1885,5.4464
453,2110455,5.2373,6.3009
454,2110456,7.2062,4.5359
455,2110457,4.0298,4.8266
456,2110458,7.9426,4.4717
457,2110459,5.0373,5.4784
458,2110460,7.396,4.3592
459,2110461,6.4524,5.5
460,2110462,6.6878,6.2975
461,2110463,4.6159,5.6949
462,2110464,4.5521,4.7291
463,2110465,5.4058,4.2964
464,2110466,6.9163,6.5626
