,상권_코드,유사_업종_점포_수,개인사업자_점포수,개인사업자_비율
247,2110265,11,8,0.7273
248,2110266,7,6,0.8571
249,2110267,6,6,1.0
250,2110268,3,3,1.0
251,2110269,3,2,0.6667
252,2110270,3,1,0.3333
253,2110271,1,1,1.0
254,2110272,27,15,0.5556
255,2110273,5,4,0.8
256,2110274,20,16,0.8
257,2110275,2,2,1.0
258,2110276,1,1,1.0
259,2110277,11,9,0.8182
260,2110278,16,14,0.875
261,2110279,2,1,0.5
262,2110280,4,3,0.75
263,2110281,4,4,1.0
264,2110282,8,7,0.875
265,2110283,4,4,1.0
266,2110284,4,3,0.75
267,2110285,10,9,0.9
268,2110286,13,11,0.8462
269,2110287,3,2,0.6667
270,2110288,9,9,1.0
271,2110289,6,5,0.8333
272,2110290,2,2,1.0
273,2110291,8,6,0.75
274,2110292,1,1,1.0
275,2110293,12,9,0.75
276,2110294,9,9,1.0
277,2110295,6,2,0.3333
278,2110296,12,10,0.8333
279,2110297,15,14,0.9333
280,2110298,3,3,1.0
281,2110299,11,11,1.0
282,2110300,25,24,0.96
283,2110301,5,5,1.0
284,2110302,12,9,0.75
285,2110303,14,14,1.0
286,2110304,10,10,1.0
287,2110305,7,7,1.0
288,2110306,6,6,1.0
289,2110307,8,5,0.625
290,2110308,18,16,0.8889
291,2110309,9,8,0.8889
292,2110312,21,16,0.7619
293,2110313,27,14,0.5185
294,2110314,18,8,0.4444
295,2110315,11,8,0.7273
296,2110316,18,11,0.6111
297,2110317,6,5,0.8333
298,2110318,5,3,0.6
299,2110319,13,9,0.6923
300,2110320,1,1,1.0
301,2110321,3,3,1.0
302,2110322,3,0,0.0
303,2110323,12,10,0.8333
304,2110324,1,1,1.0
305,2110325,10,9,0.9
306,2110326,2,2,1.0
307,2110327,7,6,0.8571
308,2110328,8,6,0.75
309,2110329,4,2,0.5
310,2110330,6,5,0.8333
311,2110331,18,14,0.7778
312,2110332,1,1,1.0
313,2110333,6,5,0.8333
314,2110334,1,1,1.0
315,2110335,9,6,0.6667
316,2110337,19,15,0.7895
317,2110338,1,1,1.0
318,2110339,7,6,0.8571
319,2110340,3,2,0.6667
320,2110341,8,5,0.625
321,2110342,4,4,1.0
322,2110343,5,5,1.0
323,2110344,3,3,1.0
324,2110345,8,5,0.625
325,2110346,10,5,0.5
326,2110348,9,4,0.4444
327,2110349,4,4,1.0
328,2110350,7,6,0.8571
329,2110351,7,7,1.0
330,2110352,7,4,0.5714
331,2110353,3,3,1.0
332,2110354,3,1,0.3333
333,2110355,6,4,0.6667
334,2110356,3,2,0.6667
335,2110357,5,3,0.6
336,2110358,7,7,1.0
337,2110359,8,7,0.875
