,상권_코드,유사_업종_점포_수,개인사업자_점포수,개인사업자_비율
970,2111040,3,3,1.0
971,2111042,11,10,0.9091
972,2111043,1,1,1.0
973,2111044,8,3,0.375
974,2111045,1,1,1.0
975,2111046,11,9,0.8182
976,2111047,3,2,0.6667
977,2111048,3,3,1.0
978,2111049,8,6,0.75
979,2111050,3,3,1.0
980,2111051,16,16,1.0
981,2111052,25,23,0.92
982,2111053,20,13,0.65
983,2111054,1,1,1.0
984,2111055,1,1,1.0
985,2111056,2,2,1.0
986,2111057,7,7,1.0
987,2111058,4,4,1.0
988,2111059,34,33,0.9706
989,2111060,20,18,0.9
990,2111061,25,25,1.0
991,2111062,13,13,1.0
992,2111063,4,4,1.0
993,2111064,9,8,0.8889
994,2111065,1,1,1.0
995,2111066,13,11,0.8462
996,2111067,16,15,0.9375
997,2111068,7,0,0.0
998,2111069,8,7,0.875
999,2111070,1,1,1.0
1000,2111071,5,5,1.0
1001,2111072,7,6,0.8571
1002,2111073,22,19,0.8636
1003,2111074,3,3,1.0
1004,2111075,2,1,0.5
1005,2111076,9,6,0.6667
1006,2111077,22,20,0.9091
1007,2111078,22,19,0.8636
1008,2111079,4,3,0.75
1009,2111080,23,21,0.913
1010,2111082,4,4,1.0
1011,2111083,8,5,0.625
1012,2111084,1,0,0.0
1013,2111085,15,10,0.6667
1014,2111086,16,16,1.0
1015,2111087,6,5,0.8333
1016,2111088,11,10,0.9091
1017,2111089,24,22,0.9167
1018,2111090,7,5,0.7143
1019,2120001,46,27,0.587
1020,2120002,74,68,0.9189
1021,2120003,156,114,0.7308
1022,2120004,40,22,0.55
1023,2120005,69,57,0.8261
1024,2120006,169,100,0.5917
1025,2120007,74,52,0.7027
1026,2120008,54,51,0.9444
1027,2120009,152,121,0.7961
1028,2120010,11,10,0.9091
1029,2120011,14,7,0.5
1030,2120012,163,108,0.6626
1031,2120013,20,15,0.75
1032,2120014,36,29,0.8056
1033,2120015,10,7,0.7
1034,2120016,11,7,0.6364
1035,2120017,11,6,0.5455
1036,2120018,31,27,0.871
1037,2120019,21,10,0.4762
1038,2120020,35,18,0.5143
1039,2120021,55,33,0.6
1040,2120022,41,20,0.4878
1041,2120023,43,18,0.4186
1042,2120024,14,13,0.9286
1043,2120025,22,16,0.7273
1044,2120026,96,56,0.5833
1045,2120027,41,25,0.6098
1046,2120028,150,75,0.5
1047,2120029,19,11,0.5789
1048,2120030,47,30,0.6383
1049,2120031,87,67,0.7701
1050,2120032,89,66,0.7416
1051,2120033,17,12,0.7059
1052,2120034,11,8,0.7273
1053,2120035,6,5,0.8333
1054,2120036,15,10,0.6667
1055,2120037,72,47,0.6528
1056,2120038,38,22,0.5789
1057,2120039,41,26,0.6341
1058,2120040,31,25,0.8065
1059,2120041,139,96,0.6906
1060,2120042,20,13,0.65
1061,2120043,83,39,0.4699
1062,2120044,28,25,0.8929
1063,2120045,29,21,0.7241
1064,2120046,92,72,0.7826
1065,2120047,38,22,0.5789
1066,2120048,14,10,0.7143
1067,2120049,53,34,0.6415
1068,2120050,14,12,0.8571
1069,2120051,70,58,0.8286
1070,2120052,54,35,0.6481
1071,2120053,127,81,0.6378
1072,2120054,44,27,0.6136
1073,2120055,61,43,0.7049
1074,2120056,42,19,0.4524
1075,2120057,29,15,0.5172
1076,2120058,9,7,0.7778
1077,2120059,22,16,0.7273
1078,2120060,30,15,0.5
1079,2120061,16,6,0.375
1080,2120062,54,39,0.7222
1081,2120063,34,21,0.6176
1082,2120064,55,34,0.6182
1083,2120065,28,20,0.7143
1084,2120066,45,31,0.6889
1085,2120067,47,17,0.3617
1086,2120068,20,11,0.55
1087,2120069,39,21,0.5385
1088,2120070,17,9,0.5294
1089,2120071,16,13,0.8125
1090,2120072,97,65,0.6701
1091,2120073,14,9,0.6429
1092,2120074,16,11,0.6875
1093,2120075,37,21,0.5676
1094,2120076,91,58,0.6374
1095,2120077,37,25,0.6757
1096,2120078,30,16,0.5333
1097,2120079,23,7,0.3043
1098,2120080,11,5,0.4545
1099,2120081,113,64,0.5664
1100,2120082,10,1,0.1
1101,2120083,35,15,0.4286
1102,2120084,18,11,0.6111
1103,2120085,45,22,0.4889
1104,2120086,23,18,0.7826
1105,2120087,17,6,0.3529
1106,2120088,17,4,0.2353
1107,2120089,7,4,0.5714
1108,2120090,27,16,0.5926
1109,2120091,29,13,0.4483
1110,2120092,9,6,0.6667
1111,2120093,51,46,0.902
1112,2120094,140,90,0.6429
1113,2120095,19,8,0.4211
1114,2120096,55,35,0.6364
1115,2120097,18,9,0.5
1116,2120098,136,76,0.5588
1117,2120099,8,2,0.25
1118,2120100,25,20,0.8
1119,2120101,111,79,0.7117
1120,2120102,61,53,0.8689
1121,2120103,292,242,0.8288
1122,2120104,242,223,0.9215
1123,2120105,79,69,0.8734
1124,2120106,34,18,0.5294
1125,2120107,70,35,0.5
1126,2120108,29,18,0.6207
1127,2120109,41,32,0.7805
1128,2120110,32,17,0.5312
1129,2120111,22,15,0.6818
1130,2120112,31,16,0.5161
1131,2120113,46,35,0.7609
1132,2120114,105,43,0.4095
1133,2120115,18,10,0.5556
