,행정동코드,행정동명,점포수,면적,단위면적당 상권 수(k㎡),프랜차이즈_점포_수,개인사업자_수,프랜차이즈 비율
381,11110670,창신1동,545,0.31,1758.0645161290322,31,139,0.182352941
382,11530770,오류1동,514,0.59,871.1864406779662,32,147,0.17877095
383,11470670,신정6동,265,0.96,276.0416666666667,34,231,0.12830188679245283
384,11230730,휘경2동,401,1.05,381.90476190476187,17,73,0.188888889
385,11290725,월곡2동,554,1.36,407.35294117647055,54,167,0.244343891
386,11560710,대림2동,362,0.55,658.1818181818181,12,176,0.063829787
387,11350625,중계2.3동,549,0.9,610.0,43,67,0.390909091
388,11290590,돈암2동,249,0.48,518.75,28,221,0.11244979919678715
389,11440630,신수동,465,0.78,596.1538461538462,22,133,0.141935484
390,11500620,공항동,786,10.87,72.30910763569457,44,263,0.143322476
391,11620695,신림동,926,0.54,1714.8148148148148,147,449,0.246644295
392,11710647,위례동,471,2.55,184.7058823529412,0,6,0.0
393,11410655,홍제2동,226,1.05,215.23809523809524,49,177,0.2168141592920354
394,11560660,신길4동,193,0.38,507.89473684210526,6,30,0.166666667
395,11320514,창4동,493,0.95,518.9473684210526,42,113,0.270967742
396,11230710,회기동,450,0.76,592.1052631578947,69,299,0.1875
397,11200590,금호1가동,290,0.46,630.4347826086956,8,35,0.186046512
398,11200570,행당2동,274,0.42,652.3809523809524,43,231,0.15693430656934307
399,11110700,숭인1동,169,0.23,734.7826086956521,3,15,0.166666667
400,11710531,거여1동,356,0.51,698.0392156862745,10,57,0.149253731
401,11545620,독산2동,489,0.6,815.0,30,107,0.218978102
402,11260570,면목7동,474,1.2,395.0,16,97,0.14159292
403,11290770,장위2동,410,0.67,611.9402985074627,10,97,0.093457944
404,11590670,신대방1동,476,0.62,767.741935483871,10,79,0.112359551
405,11350700,상계8동,301,0.67,449.25373134328356,46,255,0.15282392026578073
406,11740590,암사3동,322,2.51,128.28685258964146,34,288,0.10559006211180125
407,11530760,개봉3동,394,0.81,486.41975308641975,43,185,0.188596491
408,11500590,화곡본동,613,0.98,625.5102040816327,31,98,0.240310078
409,11260550,면목5동,296,0.7,422.8571428571429,14,75,0.157303371
410,11200580,응봉동,171,0.57,300.0,2,12,0.142857143
411,11500604,가양2동,187,1,187.0,33,154,0.17647058823529413
412,11740515,강일동,336,2.26,148.67256637168143,13,23,0.361111111
413,11620715,난향동,158,0.8,197.5,3,11,0.214285714
414,11305608,번3동,213,1.1,193.63636363636363,2,16,0.111111111
415,11320710,방학3동,356,2.62,135.87786259541986,7,18,0.28
416,11110690,창신3동,92,0.23,400.0,3,9,0.25
417,11620545,청림동,200,0.3,666.6666666666667,2,6,0.25
418,11320522,도봉2동,439,0.83,528.9156626506025,8,50,0.137931034
419,11500605,가양3동,170,0.5,340.0,4,8,0.333333333
420,11560670,신길5동,184,0.47,391.48936170212767,14,64,0.179487179
421,11680660,개포1동,67,1.27,52.75590551181102,6,61,0.08955223880597014
422,11740520,상일동,570,3.19,178.6833855799373,15,148,0.09202454
423,11740690,둔촌1동,16,0.92,17.391304347826086,2,14,0.125
424,11620685,신사동(관악구),613,0.64,957.8125,42,167,0.200956938
