,행정동코드,행정동명,점포수,면적,단위면적당 상권 수(k㎡),프랜차이즈_점포_수,개인사업자_수,프랜차이즈 비율
88,11650520,서초2동,1289,1.24,1039.516129032258,430,1311,0.246984492
89,11620605,은천동,739,0.78,947.4358974358975,10,67,0.12987013
90,11350560,월계1동,679,1.16,585.344827586207,50,186,0.211864407
91,11170685,한남동,1299,3.01,431.56146179402,51,455,0.100790514
92,11620655,신원동,422,0.55,767.2727272727273,17,63,0.2125
93,11500615,우장산동,688,1.36,505.8823529411764,25,137,0.154320988
94,11110540,삼청동,444,1.49,297.9865771812081,22,161,0.120218579
95,11230545,제기동,1867,1.18,1582.2033898305085,19,199,0.087155963
96,11500570,화곡4동,639,0.82,779.2682926829269,42,220,0.160305344
97,11590560,상도4동,478,0.75,637.3333333333334,16,73,0.179775281
98,11140645,청구동,322,0.34,947.0588235294117,9,36,0.2
99,11680600,대치1동,710,0.79,898.7341772151898,26,78,0.25
100,11500630,방화1동,986,1.48,666.2162162162163,36,196,0.155172414
101,11650510,서초1동,1217,1.42,857.0422535211268,217,782,0.217217217
102,11740620,천호3동,795,0.79,1006.3291139240506,10,46,0.178571429
103,11500591,화곡6동,865,1.11,779.2792792792792,79,374,0.174392936
104,11200690,성수2가3동,1246,1.03,1209.7087378640776,114,370,0.23553719
105,11500550,화곡2동,343,0.45,762.2222222222222,17,81,0.173469388
106,11680565,청담동,2403,2.33,1031.3304721030042,110,498,0.180921053
107,11230705,청량리동,719,1.2,599.1666666666667,7,52,0.118644068
108,11110600,가회동,435,0.54,805.5555555555555,48,244,0.164383562
109,11305645,우이동,590,10.28,57.39299610894942,29,146,0.165714286
110,11290660,길음1동,663,0.79,839.2405063291139,8,47,0.145454545
111,11110630,종로5.6가동,2045,0.6,3408.3333333333335,43,238,0.153024911
112,11545710,시흥5동,563,1.39,405.0359712230216,28,91,0.235294118
113,11290600,안암동,835,1.33,627.8195488721805,104,444,0.189781022
114,11215840,자양3동,1001,1.2,834.1666666666667,5,61,0.075757576
115,11620630,남현동,442,3.27,135.16819571865443,18,74,0.195652174
116,11560620,양평2동,790,3,263.3333333333333,47,173,0.213636364
117,11590660,대방동,840,1.55,541.9354838709677,72,212,0.253521127
118,11215830,자양2동,472,1.68,280.95238095238096,38,156,0.195876289
119,11680610,대치2동,1206,2,603.0,105,296,0.261845387
120,11740600,천호1동,592,0.71,833.8028169014085,61,169,0.265217391
121,11620595,청룡동,856,1.18,725.4237288135594,94,380,0.198312236
122,11305595,번1동,665,0.66,1007.5757575757575,21,147,0.125
123,11590550,상도3동,504,0.6,840.0,8,24,0.25
124,11140590,광희동,2222,0.74,3002.702702702703,93,396,0.190184049
125,11320660,쌍문1동,477,1.24,384.6774193548387,20,91,0.18018018
126,11740610,천호2동,1366,1.57,870.0636942675159,117,544,0.177004539
127,11410685,홍은2동,590,2.06,286.40776699029124,40,172,0.188679245
128,11545610,독산1동,1240,2.09,593.3014354066986,104,366,0.221276596
129,11470580,신월3동,325,0.87,373.5632183908046,26,81,0.242990654
130,11470630,신정2동,621,0.52,1194.2307692307693,26,120,0.178082192
131,11320512,창2동,616,1.05,586.6666666666666,10,43,0.188679245
132,11650651,양재1동,1365,5.76,236.97916666666669,51,365,0.122596154
133,11200520,왕십리2동,381,0.41,929.2682926829269,5,16,0.238095238
134,11680750,수서동,693,1.43,484.61538461538464,60,102,0.37037037
135,11260690,신내2동,387,0.93,416.1290322580645,50,337,0.12919896640826872
136,11530740,개봉1동,827,1.31,631.2977099236641,29,110,0.208633094
137,11560605,문래동,1155,1.49,775.1677852348994,64,356,0.152380952
138,11230720,휘경1동,358,0.63,568.2539682539682,39,117,0.25
139,11590540,상도2동,746,0.98,761.2244897959184,34,138,0.197674419
140,11530540,구로3동,1552,1.02,1521.5686274509803,255,538,0.321563682
141,11170570,원효로2동,384,0.71,540.8450704225353,42,216,0.162790698
142,11710600,석촌동,1301,0.95,1369.4736842105265,62,285,0.178674352
143,11470590,신월4동,393,0.52,755.7692307692307,23,114,0.167883212
144,11290620,정릉1동,372,0.44,845.4545454545455,10,76,0.11627907
145,11170580,효창동,196,0.44,445.45454545454544,8,42,0.16
146,11740700,둔촌2동,785,0.98,801.0204081632653,23,146,0.136094675
147,11500641,방화3동,237,2.55,92.94117647058825,26,42,0.382352941
148,11410700,남가좌2동,589,0.77,764.9350649350649,41,156,0.208121827
149,11350619,중계본동,654,1.97,331.97969543147207,72,142,0.336448598
150,11230740,이문1동,542,1.04,521.1538461538462,47,197,0.192622951
151,11260590,상봉2동,826,0.65,1270.7692307692307,93,358,0.206208426
152,11740660,성내3동,1080,0.71,1521.1267605633805,65,372,0.148741419
153,11500535,등촌3동,947,0.79,1198.73417721519,54,172,0.238938053
154,11260520,면목2동,719,0.77,933.7662337662338,31,258,0.107266436
155,11200720,송정동,254,0.75,338.6666666666667,10,55,0.153846154
156,11215850,구의1동,1023,0.56,1826.7857142857142,107,423,0.201886792
157,11740540,명일2동,550,0.97,567.0103092783505,72,134,0.349514563
158,11440710,연남동,1101,0.64,1720.3125,9,138,0.06122449
159,11380570,대조동,1026,0.85,1207.0588235294117,46,247,0.156996587
160,11530750,개봉2동,489,0.8,611.25,2,5,0.285714286
161,11530510,신도림동,1010,1.47,687.0748299319728,4,39,0.093023256
162,11545700,시흥4동,413,0.87,474.71264367816093,21,78,0.212121212
163,11350665,상계3.4동,554,5.05,109.70297029702971,11,67,0.141025641
164,11380510,녹번동,732,1.79,408.9385474860335,38,155,0.196891192
165,11560720,대림3동,667,0.95,702.1052631578948,48,401,0.106904232
166,11530790,수궁동,506,2.67,189.5131086142322,31,107,0.224637681
167,11530780,오류2동,669,3.2,209.0625,25,113,0.18115942
168,11650610,방배2동,728,1.93,377.20207253886014,118,450,0.207746479
169,11590520,노량진2동,365,0.64,570.3125,11,84,0.115789474
170,11200615,금호2.3가동,572,0.64,893.75,10,41,0.196078431
171,11470540,목4동,742,0.57,1301.7543859649124,18,118,0.132352941
172,11260655,망우본동,1315,3.03,433.993399339934,30,159,0.158730159
173,11680690,개포4동,619,1.49,415.43624161073825,22,102,0.177419355
174,11200535,왕십리도선동,840,0.72,1166.6666666666667,6,59,0.092307692
175,11230660,장안2동,1308,1.09,1200.0,108,391,0.216432866
176,11710710,잠실6동,1110,2.79,397.8494623655914,127,342,0.270788913
